,Dirección,Longitud,Latitud,Cantidad de accidentes
70,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,-58.47433193007387,-34.66684950051973,1
71,SOLIS y MEXICO,-58.39038605,-34.61562810,1
72,SAN JUAN AV. y ALBERTI,-58.40042405,-34.62356174,1
73,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",-58.52340614,-34.59798754,1
74,"PAZ, GRAL. AV. y DONADO",-58.49491054,-34.54795581,2
75,"PAZ, GRAL. AV. y CHAVEZ, JORGE",-58.52932872,-34.65014993,1
76,"PERON, EVA AV. y SUAREZ, JOSE LEON",-58.50011639,-34.67316502,1
77,ZINNY y SANTIAGO DE COMPOSTELA AV.,-58.46635001,-34.65624369,1
78,"LACROZE, FEDERICO AV. y FRAGA",-58.45343236,-34.58435809,1
79,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",-58.38090932,-34.58927731,1
80,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,-58.37157668,-34.65429986,2
81,AUTOPISTA PERITO MORENO y BARRAGAN,-58.52280139,-34.63659934,2
82,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",-58.51232237,-34.65903530,2
83,LUGONES y LA PAMPA,-58.47461905,-34.57663634,1
84,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,-58.38268809,-34.62282019,2
85,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",-58.49603546,-34.64564271,2
86,"SALGUERO, JERONIMO 1410",-58.41848605,-34.59394733,1
87,ARIAS y TRONADOR,-58.48935041,-34.54917673,1
88,27 DE FEBRERO AV. y ESCALADA AV.,-58.44451316,-34.68475866,5
89,DEL LIBERTADOR AV. y TAGLE,-58.39936478,-34.58271474,1
90,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,-58.37936704,-34.62694503,1
91,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",-58.49659234,-34.56353635,1
92,"PERON, EVA AV. 4233",-58.47256391,-34.65194557,1
93,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",-58.45130953,-34.64053676,1
94,RIVADAVIA AV. y RIVERA INDARTE AV.,-58.46271207,-34.62884871,1
95,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",-58.49020869,-34.64243791,1
96,IRIGOYEN y TINOGASTA,-58.52572109,-34.62125906,1
97,"ACOSTA, MARIANO y ROCA, CNEL. AV.",-58.44094791,-34.66677111,1
98,CASTRO y PAVON AV.,-58.41914024,-34.63053890,1
99,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,-58.37910942,-34.62764717,2
100,MIRAVE 3500,-58.39871183,-34.64539318,1
101,SAN JUAN AV. y 24 DE NOVIEMBRE,-58.41036975,-34.62477021,1
