,Dirección,Longitud,Latitud,Cantidad de accidentes
325,COMBATE DE LOS POZOS y HUMBERTO 1Â°,-58.39311376,-34.62163006,1
326,CORDOBA AV. y THAMES,-58.43531242,-34.59082159,1
327,"GARAY, JUAN DE AV. y SANCHEZ DE LORIA",-58.41178165,-34.63035454,1
328,"LAVALLE y ALEM, LEANDRO N. AV.",-58.37048800,-34.60189492,2
329,ESTADOS UNIDOS y PICHINCHA,-58.39883882,-34.61964833,1
330,ROSARIO y BARCO CENTENERA DEL,-58.44110156,-34.62082399,1
331,"ALEM, LEANDRO N. AV. y VIAMONTE",-58.37093138,-34.59952725,1
332,VARELA AV. y PRIMERA JUNTA,-58.45855262,-34.63953253,1
333,"PELLEGRINI, CARLOS y JUNCAL",-58.38161909,-34.59283447,1
334,"CORRIENTES AV. y LACROZE, FEDERICO AV.",-58.45511899,-34.58698157,1
335,"MONTES DE OCA, MANUEL AV. y FINOCHIETTO ENRIQUE DR.",-58.37724226,-34.62973033,1
336,"CARABOBO AV. y ALBERDI, JUAN BAUTISTA AV.",-58.45546217,-34.62930339,1
337,CORDOBA AV. 2215,-58.39897064,-34.59954925,1
338,"ESTADOS UNIDOS y URQUIZA, GRAL.",-58.40917826,-34.62126274,1
339,"MORENO y HUERGO, ING. AV.",-58.36726348,-34.61099738,1
340,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MONTIEL,-58.48267426,-34.68454456,1
341,"IRIARTE, GRAL. AV. 3400",-58.39546165,-34.65168841,1
342,"ALBERDI, JUAN BAUTISTA AV. 2968",-58.46941984,-34.63376545,1
343,DEL LIBERTADOR AV. y ORTIZ DE OCAMPO,-58.40367321,-34.58129246,1
344,"CHAVEZ, JORGE y PAZ, GRAL. AV.",-58.52932872,-34.65014993,1
345,"URQUIZA, GRAL. y ESTADOS UNIDOS",-58.40917826,-34.62126274,1
346,PARAGUAY y SANCHEZ DE BUSTAMANTE,-58.41264127,-34.59473294,1
347,"DE LOS CORRALES AV. y PAZ, GRAL. AV.",-58.50877521,-34.66977709,1
348,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",-58.51232237,-34.65903530,2
349,CASTAÃ‘ARES AV. y RIVERA INDARTE AV.,-58.44744156,-34.64567171,1
350,"LARRAZABAL y GARZON, EUGENIO, GRAL. AV.",-58.49441273,-34.65869968,1
351,"PAZ, GRAL. AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.47976785,-34.69153196,1
352,"MOREAU DE JUSTO, ALICIA AV. y COCHABAMBA",-58.36523349,-34.62260331,1
353,"ENTRE RIOS AV. y GARAY, JUAN DE AV.",-58.39118948,-34.62704273,1
354,DIRECTORIO AV. y GUARDIA NACIONAL,-58.49019551,-34.65015854,1
355,PAVON AV. y COLOMBRES,-58.41644362,-34.63023775,1
356,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",-58.50073810,-34.54979510,4
357,PICHINCHA AV. y BRASIL,-58.39626094,-34.63036565,2
358,27 DE FEBRERO AV. y PERGAMINO,-58.43284809,-34.67051543,1
359,AUTOPISTA PERITO MORENO y BARRAGAN,-58.52280139,-34.63659934,2
360,CORDOBA AV. y GASCON,-58.42336930,-34.59774487,1
361,15 DE NOVIEMBRE DE 1889 1513,-58.38691681,-34.63105973,1
362,"SALGUERO, JERONIMO y BERUTI",-58.41169020,-34.58579880,1
363,"LACARRA AV. y DELLEPIANE, LUIS, TTE. GRAL.",-58.46739825,-34.65117757,1
364,"AUTOPISTA PRESIDENTE HÃ‰CTOR J. CÃMPORA y ROCA, CNEL. AV.",-58.44483258,-34.67152226,1
365,"VARELA AV. y RABANAL, FRANCISCO, INTENDENTE AV.",-58.43254025,-34.66128115,1
366,"PAZ, GRAL. AV. y BERON DE ASTRADA",-58.47199387,-34.69640164,1
367,RIVADAVIA AV. y PEDERNERA,-58.46411215,-34.62925068,2
368,"RAWSON DE DELLEPIANE, ELVIRA AV. 150",-58.36217754,-34.62367156,1
369,"PAZ, GRAL. AV. y ZAPIOLA",-58.48098594,-34.54073130,1
370,"FAMATINA y TABORDA, DIOGENES",-58.41083404,-34.64640709,1
371,"CASTAÃ‘ARES AV. y BONORINO, ESTEBAN, CNEL. AV.",-58.44609828,-34.64446729,1
372,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.,-58.37709334,-34.64035082,2
373,NAZCA AV. y RIVADAVIA AV.,-58.46963952,-34.63070603,2
374,"FIGUEROA ALCORTA, PRES. AV. y ECHEVERRIA",-58.43674281,-34.55161027,1
375,RIVADAVIA AV. y JUJUY AV.,-58.40596860,-34.61011987,1
376,"DE LOS ITALIANOS AV. y GUEMES, MACACHA",-58.36154069,-34.60463618,1
377,"TUCUMAN y ALEM, LEANDRO N. AV.",-58.37062179,-34.60066507,1
378,"CORRIENTES AV. y GALLARDO, ANGEL AV.",-58.43220014,-34.60207186,1
379,"AUTOPISTA PERITO MORENO & PERON, EVA  AV.",-58.46958442,-34.64949724,1
380,MUÃ‘ECAS y SERRANO,-58.44671397,-34.59970903,1
381,"ARTIGAS, JOSE GERVASIO, GRAL. y TRES ARROYOS",-58.47152163,-34.61474911,1
382,SOLIS e INDEPENDENCIA AV.,-58.39032921,-34.61807951,1
383,"BOSCH, VENTURA y PAZ, GRAL. AV.",-58.52887773,-34.64297861,1
384,"PAZ, GRAL. AV. 14800",-58.49371157,-34.67981324,1
385,"PERON, EVA AV. 5321",-58.48266599,-34.66012327,1
386,"PERON, JUAN DOMINGO, TTE. GENERAL y PUEYRREDON AV.",-58.40612253,-34.60774301,1
387,"RABANAL, FRANCISCO, INTENDENTE AV. y SAN PEDRITO",-58.43613623,-34.66292532,1
388,MONROE y ALVAREZ THOMAS AV.,-58.48250732,-34.57208238,1
389,RIVADAVIA AV. y MANZONI,-58.49945705,-34.63743280,1
390,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y LARRAZABAL,-58.47743966,-34.67233407,1
391,"PAZ, GRAL. AV. y PERON, EVA AV.",-58.50251790,-34.67450313,2
392,AUTOPISTA PERITO MORENO y RESERVISTAS ARGENTINOS,-58.52144411,-34.63682499,1
393,SAENZ AV. y VENTANA,-58.41650465,-34.65084045,1
394,"PAZ, GRAL. AV. y FALCON, RAMON L.,CNEL.",-58.52994219,-34.64055918,1
395,"PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",-58.50993046,-34.56919739,1
396,"PAZ, GRAL. AV. 11200",-58.52844623,-34.64592873,1
397,"NEWBERY, JORGE AV. y GUEVARA",-58.45021367,-34.58695347,1
398,GAONA AV. y SEGUROLA AV.,-58.49022072,-34.62770192,1
399,"MADERO, EDUARDO AV. 550",-58.36860866,-34.60106568,1
400,"AUTOPISTA ARTURO ILLIA y CASTILLO, RAMON S., PRES. AV.",-58.39490504,-34.57241534,1
401,NAZCA AV. y RIVADAVIA AV.,-58.46963952,-34.63070603,2
402,LA PLATA AV. y CASEROS AV.,-58.42349365,-34.64019887,1
403,BELGRANO AV. y PERU,-58.37471802,-34.61265002,1
404,RIVADAVIA AV. 7013,-58.46438789,-34.62913916,1
405,"ALSINA, ADOLFO y SANTIAGO DEL ESTERO",-58.38481975,-34.61100424,1
406,BERMUDEZ 1893,-58.50751833,-34.62073702,1
407,SANTANDER 1974,-58.44682986,-34.63888084,1
408,LANTERI JULIETA 1400,-58.36004650,-34.61381341,1
409,MAZA e INDEPENDENCIA AV.,-58.41509546,-34.62085945,1
410,"PAZ, GRAL. AV. 5172",-58.50997604,-34.57251072,1
411,"OLIVERA AV. y ALBERDI, JUAN BAUTISTA AV.",-58.48606475,-34.64047818,1
412,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",-58.38526125,-34.57805810,3
413,"CASTAÃ‘ARES AV. y MORENO, PERITO AV.",-58.45463662,-34.65082149,1
414,SAN MARTIN AV. y TERRADA,-58.49121672,-34.59718073,1
415,"PERON, EVA AV. y MEDINA",-58.47325712,-34.65284605,1
416,"JUSTO, JUAN B. AV. y ALVAREZ JONTE AV.",-58.52108101,-34.63382309,1
417,"OBLIGADO RAFAEL, AV.COSTANERA 4650",-58.41652702,-34.55509606,1
418,"MITRE, BARTOLOME y YATAY",-58.42891604,-34.61071660,1
419,"PAZ, GRAL. AV. 16080",-58.47802293,-34.69156793,1
420,CHACABUCO y SAN JUAN AV.,-58.37564821,-34.62200207,1
421,DEL LIBERTADOR AV. 4100,-58.42668489,-34.56961468,1
422,"PAZ, GRAL. AV. y ALBERDI, JUAN BAUTISTA AV.",-58.51839930,-34.66252488,1
423,"CASTAÃ‘ARES AV. y GORDILLO, TIMOTEO",-58.48432691,-34.67665828,1
424,SALVIGNY y MOM,-58.43383830,-34.64457699,1
425,"LAMARCA, EMILIO 5402",-58.51664939,-34.58657938,1
426,SAN MARTIN AV. 5638,-58.49613012,-34.59703502,1
427,"CARRILLO, RAMON, DR. y FINOCHIETTO ENRIQUE DR.",-58.38313603,-34.63356284,1
428,MEXICO y PICHINCHA,-58.39914719,-34.61632317,1
429,"CANTILO, INT. y UDAONDO, GUILLERMO AV.",-58.44927253,-34.54048625,2
430,DEL LIBERTADOR AV. 6326,-58.45049163,-34.55374003,1
431,CHICLANA AV. 3444,-58.41288952,-34.63572989,1
432,BOYACA AV. y YERBAL,-58.45743597,-34.62561234,1
433,ENTRE RIOS AV. 1260,-58.39123782,-34.62352245,1
434,"PAZ, GRAL. AV. y JACQUES, AMADEO",-58.52922765,-34.63637963,1
435,ANTARTIDA ARGENTINA AV. 1325,-58.37208118,-34.58541957,1
436,"MITRE, BARTOLOME y SANCHEZ DE BUSTAMANTE",-58.41458534,-34.60937557,1
437,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",-58.47976785,-34.69153196,2
438,SANTA FE AV. y AZCUENAGA,-58.39990285,-34.59511714,1
439,"JUSTO, JUAN B. AV. y OROÃ‘O, NICASIO",-58.46051346,-34.60588536,1
440,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZ, GRAL. AV.",-58.47976785,-34.69153196,2
441,"ALVAREZ, DONATO, TTE. GRAL. y YERBAL",-58.45457546,-34.62447891,1
442,"CORDOBA AV. y MADERO, EDUARDO AV.",-58.36951669,-34.59832047,2
443,"CAMARONES y ALVAREZ, DONATO, TTE. GRAL. AV.",-58.46415322,-34.60443790,1
444,"AUTOPISTA 25 DE MAYO y HUERGO, ING. AV.",-58.36607137,-34.62150748,1
445,"MORENO, PERITO AV. 3050",-58.45537373,-34.65093074,1
446,SUIPACHA 665,-58.37942637,-34.60053054,1
447,RIGLOS y FORMOSA,-58.43680440,-34.62147504,1
448,LA RIOJA e INDEPENDENCIA AV.,-58.40778291,-34.61971907,1
449,"UDAONDO, GUILLERMO AV. y FIGUEROA ALCORTA, PRES. AV.",-58.45212523,-34.54628513,1
450,SAN PEDRITO AV. y DIRECTORIO AV.,-58.46749188,-34.63551751,2
451,PUAN y SANTANDER,-58.44263580,-34.63679732,1
452,"ALBERDI, JUAN BAUTISTA AV. y ANDALGALA",-58.51140289,-34.65846419,1
453,LIMA y CONSTITUCION,-58.38211431,-34.62465368,1
454,"CORDOBA AV. y MADERO, EDUARDO AV.",-58.36951669,-34.59832047,2
455,BOEDO AV. 650,-58.41635217,-34.62036547,1
456,DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA,-58.41316147,-34.57579669,1
457,"PAZ, GRAL. AV. y CABILDO AV.",-58.47617802,-34.53825652,1
458,CASEROS AV. 1700,-58.38641783,-34.63330028,1
459,AVELLANEDA AV. 1548,-58.45322169,-34.62038137,1
460,CIUDAD DE LA PAZ y MENDOZA,-58.45849057,-34.56166498,1
461,"SALGUERO, JERONIMO y HONDURAS AV.",-58.41829559,-34.59411677,1
462,"FILIBERTO, JUAN DE DIOS y OLAVARRIA",-58.36376488,-34.63832093,1
463,ASTURIAS AV. y CASTAÃ‘ARES AV.,-58.46442668,-34.66004784,1
464,GANDARA 2976,-58.48222035,-34.58428769,1
465,"GUEVARA, TRINIDAD y MADERO, EDUARDO AV.",-58.36819005,-34.60283208,1
466,BOYACA AV. 305,-58.45877601,-34.62330939,1
467,ARTILLEROS y LA PAMPA,-58.44196498,-34.55760517,1
468,AUTOPISTA PERITO MORENO e IRIGOYEN,-58.50622631,-34.63627822,1
469,15 DE NOVIEMBRE DE 1889 y SANTIAGO DEL ESTERO,-58.38410880,-34.63099197,1
470,"ACOSTA, MARIANO AV. y FALCON, RAMON L.,CNEL.",-58.48100602,-34.63504312,1
471,11 DE SEPTIEMBRE DE 1888 y MENDOZA,-58.45200171,-34.55781320,1
472,"PINO, VIRREY DEL y CAMPOS, LUIS M. AV.",-58.44462132,-34.56201105,1
473,FOREST AV. y MAURE,-58.45220688,-34.58711712,1
474,BOYACA AV. y AVELLANEDA AV.,-58.45962210,-34.62245140,1
475,BARCO CENTENERA DEL y TILCARA,-58.41970850,-34.65414867,1
476,RIESTRA AV. y BOLIVAR (NO OFICIAL),-58.44187596,-34.64938031,1
477,"CASTRO, EMILIO 4706",-58.49101637,-34.64276621,1
478,27 DE FEBRERO AV. 5600,-58.42493829,-34.66256502,1
479,"GARAY, JUAN DE AV. 2874",-58.40489318,-34.62930162,1
480,"SCALABRINI ORTIZ, RAUL AV. y GORRITI",-58.42686680,-34.59217875,1
481,PRIMERA JUNTA y OLIVERA AV.,-58.47961100,-34.65620398,1
482,"ALBERDI, JUAN BAUTISTA AV. y AZUL",-58.47439934,-34.63524207,1
483,ALVAREZ THOMAS AV. 1788,-58.46711912,-34.57926018,1
484,"LUGONES, LEOPOLDO AV. y PAZ, GRAL. AV.",-58.46514781,-34.53465378,1
485,SAN ANTONIO y LUJAN,-58.37571078,-34.65584079,1
486,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,-58.37157668,-34.65429986,2
487,"FIGUEROA ALCORTA, PRES. AV. y TAGLE",-58.39811256,-34.58070186,1
488,"EINSTEIN, ALBERTO y ALCORTA, AMANCIO AV.",-58.41125934,-34.65417740,1
489,AGRELO y COLOMBRES,-58.41822901,-34.61866836,1
490,"CABILDO AV. y PAZ, GRAL. AV.",-58.47617802,-34.53825652,1
491,ELCANO AV. 4300,-58.46141281,-34.58623761,1
492,"RABANAL, FRANCISCO, INTENDENTE AV. 2428",-58.42985146,-34.66119740,1
493,MONTE y CORVALAN,-58.48457413,-34.65839090,1
494,TANDIL y LAFUENTE,-58.46572884,-34.63628186,1
495,CARDOSO y BACACAY,-58.49261744,-34.63419130,1
496,CORRIENTES AV. 6700,-58.45283186,-34.58841560,1
497,ALVAREZ THOMAS AV. y MENDOZA,-58.47973681,-34.57418656,1
498,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",-58.40623949,-34.65076549,3
499,"BROWN, ALTE. AV. y BLANES, JUAN MANUEL",-58.36244648,-34.63107887,1
500,"ALBERDI, JUAN BAUTISTA AV. 5455",-58.49962423,-34.64868027,1
501,"JUSTO, JUAN B. AV. y CAMARGO",-58.44551437,-34.59559816,1
502,"BRIN, MINISTRO y SUAREZ",-58.35608181,-34.63420319,1
503,"NIZA y JUSTO, JUAN B. AV.",-58.46483679,-34.60907662,1
504,CAMARGO y SERRANO,-58.44368628,-34.59724326,1
505,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,-58.37864583,-34.62907067,2
506,CASEROS AV. y PIEDRAS,-58.37560352,-34.62726382,1
507,AUTOPISTA PERITO MORENO KM. 5.6,-58.47721439,-34.64815069,1
508,GUZMAN 365,-58.45134029,-34.58984288,1
509,DE LOS CONSTITUYENTES AV. 4300,-58.49040794,-34.58368803,1
510,"MORENO, PERITO AV. y TILCARA AV.",-58.42102679,-34.64991178,1
511,"IBARROLA y GORDILLO, TIMOTEO",-58.52219407,-34.64143926,1
512,"PAZ, GRAL. AV. y GRIVEO",-58.52169422,-34.59471640,1
513,RIVADAVIA AV. y PERGAMINO,-58.47460416,-34.63206174,1
514,SANTO TOME y SEGUROLA AV.,-58.50512382,-34.61520391,1
515,URIARTE y LOYOLA,-58.43910409,-34.59213355,1
516,SARAZA y VARELA AV.,-58.45019436,-34.64646409,1
517,RIVADAVIA AV. y COMBATE DE LOS POZOS,-58.39337644,-34.60927582,1
518,RODRIGUEZ PEÃ‘A y RIVADAVIA AV.,-58.39055614,-34.60919284,1
519,24 DE NOVIEMBRE y SAN JUAN AV.,-58.41036975,-34.62477021,1
520,LAFUENTE AV. 2250,-58.44925765,-34.65412546,1
521,CHILE y LIMA,-58.38156850,-34.61648696,1
522,"CORDOBA AV. y JAURES, JEAN",-58.40662899,-34.59804521,1
523,"PERON, JUAN DOMINGO, TTE. GENERAL y SALGUERO, JERONIMO",-58.41985649,-34.60600850,1
524,9 DE JULIO AV. y SAN JUAN AV.,-58.38099833,-34.62214953,1
525,COLOMBRES 466,-58.41803309,-34.61823178,1
526,MEXICO 2860,-58.40604003,-34.61783553,1
527,COMBATIENTES DE MALVINAS AV. y TRIUNVIRATO AV.,-58.47549929,-34.57994061,1
528,BERMUDEZ y NOGOYA,-58.51398484,-34.61600366,1
529,BRASIL AV. y PASEO COLON AV.,-58.36797542,-34.62519403,1
530,"ALEM, LEANDRO N. AV. 770",-58.37133616,-34.59879316,1
531,BELGRANO AV. y RINCON,-58.39613805,-34.61413568,1
532,"UDAONDO, GUILLERMO AV. 901",-58.44903073,-34.54200276,1
533,CONSTITUCION y CASTRO,-58.41972364,-34.62846670,1
534,"PUEYRREDON AV. y GOMEZ, VALENTIN",-58.40571596,-34.60557123,1
535,"BRAVO, MARIO 1279",-58.41451590,-34.59488319,1
536,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,-58.47297505,-34.66245085,2
537,"ARAOZ DE LAMADRID, GREGORIO, GRAL. y BROWN, ALTE. AV.",-58.35791192,-34.63695178,1
538,MURGUIONDO 1339,-58.50801713,-34.65177305,1
539,RIVADAVIA AV. 2551,-58.40258477,-34.60975108,1
540,"DELLEPIANE, LUIS, TTE. GRAL. y MONTIEL",-58.48267426,-34.68454456,1
541,"SCALABRINI ORTIZ, RAUL AV. y WARNES AV.",-58.44248936,-34.60221948,1
542,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",-58.52909134,-34.63886726,1
543,SAN MARTIN AV. 1550,-58.45158942,-34.60646580,1
544,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",-58.49344309,-34.65788529,1
545,CORRIENTES AV. y SERRANO,-58.44259166,-34.59635137,1
546,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",-58.46743471,-34.53476874,4
547,"MITRE, BARTOLOME y ANCHORENA, TOMAS MANUEL DE, DR.",-58.41178158,-34.60922259,1
548,AUTOPISTA 25 DE MAYO y PUMACAHUA,-58.45068621,-34.63638927,1
549,"SCALABRINI ORTIZ, RAUL AV. y PARAGUAY",-58.42016954,-34.58778790,1
550,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",-58.43850413,-34.65554754,2
551,"LAS HERAS GENERAL AV. y DIAZ, CNEL. AV.",-58.40617526,-34.58345898,1
552,MURGUIONDO,.,.,1
553,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",-58.38526125,-34.57805810,3
554,"CURAPALIGUE y PERON, EVA AV.",-58.44750470,-34.63491705,1
555,"DIAZ, ANA y SOLDADO DE LA FRONTERA AV.",-58.46745752,-34.68192648,1
556,"ALEM, LEANDRO N. AV. y PARAGUAY",-58.37202621,-34.59717942,1
557,LA PLATA AV. e INDEPENDENCIA AV.,-58.42779702,-34.62207347,1
558,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",-58.46244952,-34.70524971,2
559,"NAZCA AV. y CARRANZA, ADOLFO P.",-58.48440160,-34.60776782,1
560,AUTOPISTA PRESIDENTE HÃ‰CTOR J. CÃMPORA y LACARRA AV.,-58.46668375,-34.65174801,1
561,DORREGO AV. 614,-58.44958780,-34.59322448,1
562,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",-58.37533517,-34.59276462,3
563,SANTA FE AV. y GODOY CRUZ,-58.42525456,-34.57866344,2
564,AVELLANEDA AV. y MERCEDES,-58.48493828,-34.62981124,1
565,TUCUMAN y PUEYRREDON AV.,-58.40480504,-34.60183884,1
566,"ALCORTA, AMANCIO AV. y EINSTEIN, ALBERTO",-58.41125934,-34.65417740,1
567,INCLAN y ALBERTI,-58.39956546,-34.62977080,1
568,OLAZABAL AV. 5437,-58.49005682,-34.57868970,1
569,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",-58.47064556,-34.69843756,2
570,"NAZCA AV. y VIALE, LUIS",-58.47501560,-34.61945902,1
571,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",-58.48727942,-34.63652467,2
572,BRASIL 1100,-58.37951690,-34.62794241,1
573,"HOMERO y PERON, EVA AV.",-58.47750832,-34.65672199,1
574,"CANTILO, INT. y UDAONDO, GUILLERMO AV.",-58.44927253,-34.54048625,2
575,MORENO 1845,-58.39246272,-34.61253541,1
576,NUEVA YORK y ALTA GRACIA,-58.52783814,-34.61047001,1
577,"PAZ, GRAL. AV. y GOYENECHE, ROBERTO PARQUE AV.",-58.49332664,-34.54836855,2
578,AUTOPISTA PERITO MORENO (ALTURA ESTACION DE TREN VILLA LURO),-58.50178784,-34.63593897,1
579,SAENZ AV. y BEAZLEY,-58.41657793,-34.65476216,1
580,DEL LIBERTADOR AV. y AUSTRIA,-58.39731474,-34.58307887,1
581,"INDEPENDENCIA AV. y SAENZ PEÃ‘A, LUIS, PRES.",-58.38746381,-34.61790839,1
582,"CALLAO AV. y LAS HERAS, GENERAL",-58.39189441,-34.59176378,1
583,SAN PEDRITO AV. y DIRECTORIO AV.,-58.46749188,-34.63551751,2
584,"JUJUY AV. y CALVO, CARLOS",-58.40280471,-34.62113271,1
585,27 DE FEBRERO AV. y ESCALADA AV.,-58.44451316,-34.68475866,5
586,BOGOTA y NAZCA AV.,-58.47110424,-34.62742408,1
587,CORRIENTES AV. y 9 DE JULIO AV.,-58.38220928,-34.60373898,1
588,ALVAREZ JONTE AV. y CHIVILCOY,-58.49794468,-34.61565025,1
589,SAN MARTIN AV. y PUNTA ARENAS,-58.47220945,-34.60111373,1
590,BARCO CENTENERA DEL 1118,-58.43706741,-34.63217813,1
591,"PAZ, GRAL. AV. y GOYENECHE, ROBERTO PARQUE AV.",-58.49332664,-34.54836855,2
592,AU FRONDIZI KM. 3,-58.37960727,-34.62622851,1
593,"CASTRO, EMILIO AV. y MURGUIONDO",-58.51061062,-34.64972472,1
594,AUTOPISTA 25 DE MAYO KM. 3.7,-58.43052224,-34.62941648,1
595,CASEROS AV. y GUARANI,-58.41455544,-34.63866836,1
596,"PERON, EVA AV. 3800",-58.46774439,-34.64730145,1
597,AUTOPISTA ARTURO ILLIA y SARMIENTO AV.,-58.40786274,-34.56726817,1
598,DE LOS CONSTITUYENTES AV. y GIRIBONE,-58.48744301,-34.58622275,1
599,"SAENZ AV. y RABANAL, FRANCISCO, INTENDENTE AV.",-58.41657793,-34.65476216,1
600,PAYSANDU y GAONA AV.,-58.45351111,-34.61134937,1
601,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",-58.50073810,-34.54979510,4
602,SANTA FE AV. 1675,-58.39144148,-34.59564871,1
603,"DELLEPIANE, LUIS, TTE. GRAL. y GUAMINI",-58.48191128,-34.68385968,1
604,"FALCON, RAMON L.,CNEL. y OLIVERA AV.",-58.48727942,-34.63652467,1
605,SAN MARTIN AV. y NOGOYA,-58.48328708,-34.59779521,1
606,SAN MARTIN AV. y TINOGASTA,-58.49018543,-34.59724990,1
607,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y DE LA TORRE, LISANDRO",-58.47230127,-34.68482689,1
608,SALTA y CASEROS AV.,-58.38262614,-34.63168269,1
609,"JAURES, JEAN y PERON, JUAN DOMINGO, TTE. GENERAL",-58.41047268,-34.60793518,1
610,"TRIUNVIRATO AV. y LARRALDE, CRISOLOGO AV.",-58.49659234,-34.56353635,1
611,POTOSI y GASCON,-58.42462955,-34.60727189,1
612,"YRIGOYEN, HIPOLITO y 24 DE NOVIEMBRE",-58.41168345,-34.61185625,1
613,DEL LIBERTADOR AV. y ROOSEVELT FRANKLIN D.,-58.45157681,-34.55217303,1
614,"PERON, EVA AV. y PIEDRA BUENA AV.",-58.49573651,-34.67006054,1
615,"PAZ, GRAL. AV. y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.",-58.48695354,-34.68795245,1
616,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y QUINQUELA MARTIN, BENITO",-58.37562539,-34.64449357,1
617,"PAZ, GRAL. AV. y DONADO",-58.49491054,-34.54795581,2
618,"COREA AV. y TORRES Y TENORIO, PRES.",-58.44147621,-34.64357704,1
619,"FALCON, RAMON L.,CNEL. y SAN PEDRITO AV.",-58.46899119,-34.63215432,1
620,FINOCHIETTO ENRIQUE DR. 1623,-58.38685612,-34.63455776,1
621,9 DE JULIO AV. e INDEPENDENCIA AV.,-58.38113667,-34.61765323,1
622,"CANTILO, INT. y GUIRALDES, INT.",-58.44112678,-34.54538956,1
623,AUTOPISTA 25 DE MAYO y BOEDO AV.,-58.41595919,-34.62743346,2
624,"ALCORTA, AMANCIO AV. y ZAVALETA",-58.40184094,-34.64546845,2
625,"JANER, ANA MARIA y LAFUENTE AV.",-58.44642231,-34.65679806,1
626,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",-58.52340614,-34.59798754,2
627,"MONROE y BALBIN, RICARDO, DR. AV.",-58.46649069,-34.56219075,1
628,"JUSTO, JUAN B. AV. y SANTA FE AV.",-58.42653328,-34.57816791,1
629,"OLIDEN y ALBERDI, JUAN BAUTISTA AV.",-58.50407099,-34.65303372,1
630,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",-58.46743471,-34.53476874,4
631,DEL LIBERTADOR AV. y CASARES AV.,-58.40986646,-34.57728060,1
632,RIVADAVIA AV. 10900,-58.51739138,-34.63931792,1
633,"ALBERDI, JUAN BAUTISTA AV. y PILAR",-58.50719962,-34.65556223,1
634,"PERON, EVA AV. y ACOSTA, MARIANO",-58.46712311,-34.64600222,1
635,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.,-58.37709334,-34.64035082,2
636,ELCANO AV. y GUZMAN AV.,-58.46033141,-34.58569883,1
637,"VEDIA, AGUSTIN DE y RABANAL, FRANCISCO, INTENDENTE AV.",-58.42190745,-34.65633192,1
638,CAPDEVILA y CONGRESO AV.,-58.49026573,-34.56981410,1
639,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",-58.45410344,-34.66902702,1
640,DEL LIBERTADOR AV. 5958,-58.44751621,-34.55719892,1
641,27 DE FEBRERO AV. y EREZCANO AV.,-58.42040352,-34.66005171,1
642,"PAZ, GRAL. AV. 14723",-58.49530249,-34.68010798,1
643,CORRIENTES AV. 5783,-58.44399875,-34.59477360,1
644,TABARE y EREZCANO,-58.42759813,-34.65463857,1
645,CORRIENTES AV. y PUEYRREDON AV.,-58.40547222,-34.60456293,1
646,"CORRALES y MORENO, PERITO AV.",-58.42473018,-34.65008280,1
647,AUTOPISTA  ARTURO ILLIA (CABINA DE PEAJE),-58.39257023,-34.57563957,1
648,"PAZ, GRAL. AV. y VEDIA",-58.48941042,-34.54596153,1
649,"GARAY, JUAN DE AV. 2269",-58.39640740,-34.62783085,1
650,"SALGUERO, JERONIMO y RIVADAVIA AV.",-58.41971993,-34.61112240,2
651,"MORENO, PERITO AV. y ALCORTA, AMANCIO AV.",-58.40544588,-34.65012801,1
